,id,text,author_id,created_at,geo
0,1505309337010720768,"RT @TheMoonCarl: I was just LIVE on FOX Business again! 

I said that #Bitcoin is the only non-political money in the world and Bitcoin can…",493176874,2022-03-19 22:24:47+00:00,
1,1505309336465203204,"RT @ProjectsIco: What is next leg up for #Bitcoin 

#Crypto #BTC #BTCUSDT #cryptocurrency",1497123969144664064,2022-03-19 22:24:47+00:00,
2,1505309334951006211,"@BluesparrowC @bitfinex @BlueSparrowETH #BlueSparrow is a bridge between the stock market and crypto .. You will have both in the Blue Sparrow CEX
@BlueSparrowETH
@BluesparrowC
#BluesparrowCEX
#ETH
#BlueSparrow
#BlueSparrowtoken
#BlueSparrowCommunity
#bitcoin
#BestDrawToken
#Bluesparrowcharity
#Web3
#NFT🌻80",1490748745004331014,2022-03-19 22:24:47+00:00,
3,1505309334850449429,Bitcoin scalping you can see price is over sold on RSI &amp; some nice divergence #bitcoin #binancefuturestrading https://t.co/gLon4D6f5v,1293614079051956224,2022-03-19 22:24:47+00:00,
4,1505309333470556164,RT @WatcherGuru: JUST IN: 🇺🇸 U.S. Congressman Pete Sessions says Texas will be the #Bitcoin capital.,1468874844,2022-03-19 22:24:47+00:00,
5,1505309332673806337,"RT @Apecointrader1: Ok because we got 80 followers we will do small giveaway when we get 85 we will do a big one

#NFTCommunity  #Bitcoin #…",72789355,2022-03-19 22:24:46+00:00,
6,1505309328890204160,RT @BitcoinMagazine: The revolution can not be stopped. #Bitcoin https://t.co/J51qviTWId,998542189692047365,2022-03-19 22:24:45+00:00,
7,1505309328403746820,"RT @AirdropDet: 🔍 New #Airdrop: YupVerse

💲 Reward: Up to 10M YuP (~$5) + 2M YuP (~$1,000) referral pool

🔴 Start the airdrop bot https://t…",1500907760782917634,2022-03-19 22:24:45+00:00,
8,1505309328005287941,RT @azadeh1362: @HuobiArmy Would you like to see crypto and the forex market on a platform?#BlueSparrowCEX offers you this exciting feature…,735191667284774912,2022-03-19 22:24:45+00:00,
9,1505309321412096002,"RT @chitaglorya__: giveaway 200$ | 2,800,000 IDR

-- rt follow @flagnetwork_NFT 

-- rt &amp; quoted their pinned with   #FlagNetwork  #cryptoc…",882191433347645440,2022-03-19 22:24:44+00:00,
10,1505309321327874048,The strongest bullish signal flashed for #XRP #bitcoin #btc #ethereum #eth https://t.co/849xkUdcTK,1293717865212895240,2022-03-19 22:24:44+00:00,
11,1505309316068302848,RT @WatcherGuru: JUST IN: PayPal co-founder says the “biggest mistake I made in the last decade was getting too late and too little into #B…,2949579778,2022-03-19 22:24:42+00:00,
12,1505309314327748611,RT @azadeh1362: @HuobiArmy Would you like to see crypto and the forex market on a platform?#BlueSparrowCEX offers you this exciting feature…,735191667284774912,2022-03-19 22:24:42+00:00,
13,1505309312759046150,"Ceek is the best, in metaverse projects. 
@CEEK

@HuobiGlobal

@FTX_Official

@krakenfx

@kucoincom

@binance

@coinbase

@Bybit_Official

#Metaverse #Ceek #btc #Bitcoin #altcoins #altcoinseason #BNB #AVAX #ETH #SOL #Holo https://t.co/IFmW0fjH8O",1473720675525353474,2022-03-19 22:24:42+00:00,
14,1505309312335314948,"RT @zloadr: 🤾‍♂️ Own a Crypt2 NFT Player

💰 Earn #BTC/#ETH by staking ZDR against your Player NFT

Watch the video below to learn more!

#s…",1105890898498514950,2022-03-19 22:24:42+00:00,
15,1505309311802638338,"RT @AirdropDet: 🔍 New #Airdrop: YupVerse

💲 Reward: Up to 10M YuP (~$5) + 2M YuP (~$1,000) referral pool

🔴 Start the airdrop bot https://t…",1501565777992097793,2022-03-19 22:24:41+00:00,
16,1505309311677116418,"RT @airdropinspect: New airdrop: Prizefighter (RING)
Total Reward: $5,000 worth of RING
Rate: ⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 100
Dist…",1494360423931338753,2022-03-19 22:24:41+00:00,
17,1505309309424439296,"RT @CarolainCrypt0: #Bitcoin is worth 42K right now!!

And what are you going to invest in?  show me your great project x 100!👇🏻👇🏻 https://…",1493907604451389440,2022-03-19 22:24:41+00:00,
18,1505309307364995072,"RT @chitaglorya__: giveaway 200$ | 2,800,000 IDR

-- rt follow @flagnetwork_NFT 

-- rt &amp; quoted their pinned with   #FlagNetwork  #cryptoc…",1469518277730652164,2022-03-19 22:24:40+00:00,
19,1505309305972867073,"RT @airdropinspect: New airdrop: Ubiquity DAO (USDT)
Total Reward: 2,500 USDT
Rate: ⭐️⭐️⭐️⭐️
Winners: 1,000 Random &amp; Top 100
Distribution:…",1477225695923544075,2022-03-19 22:24:40+00:00,
20,1505309305477685251,#BitcoinButton   and #Binance   almost won😂 #Bitcoin https://t.co/2Xw9s9djSr,1319771864961568768,2022-03-19 22:24:40+00:00,
21,1505309302890057731,"RT @TheCryptoLark: Elon Musk owns only 3 coins. 
#Bitcoin 
#ethereum
$doge",1251741063024238593,2022-03-19 22:24:39+00:00,
22,1505309297391112193,RT @azadeh1362: @HuobiArmy Would you like to see crypto and the forex market on a platform?#BlueSparrowCEX offers you this exciting feature…,735191667284774912,2022-03-19 22:24:38+00:00,
